"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"12550","D","Seattle","Seahawks","11.5","2","5300","CHI@SEA","SEA","CHI","","","",""
"25607","RB","Josh","Harris","0.3","5","5300","PIT@STL","PIT","STL","","","",""
"7952","WR","Malcom","Floyd","8","2","5300","SD@MIN","SD","MIN","","","",""
"22234","RB","Chris","Polk","4.7","2","5300","TB@HOU","HOU","TB","","","",""
"6679","QB","Matt","Schaub","0.1","11","5300","CIN@BAL","BAL","CIN","","","",""
"24907","RB","Karlos","Williams","11.1","2","5300","BUF@MIA","BUF","MIA","","","",""
"7784","WR","Darrius","Heyward-Bey","11.8","2","5300","PIT@STL","PIT","STL","","","",""
"22004","TE","Dwayne","Allen","4.6","2","5200","IND@TEN","IND","TEN","NA","Ankle","",""
"21952","WR","Michael","Floyd","1.2","2","5200","SF@ARI","ARI","SF","","","",""
"6627","WR","Ted","Ginn Jr.","9.3","2","5200","NO@CAR","CAR","NO","","","",""
"28249","RB","David","Cobb","0","0","5200","IND@TEN","TEN","IND","IR","Calf","",""
"14198","QB","Christian","Ponder","6.7","2","5200","OAK@CLE","OAK","CLE","","","",""
"34295","WR","Breshad","Perriman","0","0","5200","CIN@BAL","BAL","CIN","NA","Knee","",""
"14320","RB","Bilal","Powell","8.1","2","5200","PHI@NYJ","NYJ","PHI","","","",""
"29500","WR","Markus","Wheaton","8.4","2","5200","PIT@STL","PIT","STL","P","Chest","",""
"14307","WR","Cecil","Shorts","7.1","2","5200","TB@HOU","HOU","TB","","","",""
"6488","WR","Dwayne","Bowe","0","1","5200","OAK@CLE","CLE","OAK","NA","Coach's decision","",""
"27457","WR","Kenny","Stills","1.8","2","5200","BUF@MIA","MIA","BUF","","","",""
"46882","RB","Jay","Ajayi","0","0","5200","BUF@MIA","MIA","BUF","IR","Ribs","",""
"6373","QB","Derek","Anderson","8.4","6","5200","NO@CAR","CAR","NO","","","",""
"8071","QB","Dan","Orlovsky","0","1","5200","DEN@DET","DET","DEN","","","",""
"14761","WR","Andre","Holmes","3.3","2","5200","OAK@CLE","OAK","CLE","","","",""
